"","start_station","end_station","start_time","end_time","customer_type"
"1","R",4,2022-02-15 00:00:01,2022-02-15 00:00:01,"None"
"2","R",4,2022-02-15 00:00:01,2022-02-15 00:00:01,"None"
"3","R",4,2022-02-15 00:00:01,2022-02-15 00:00:01,"None"
"4","R",4,2022-02-15 00:00:01,2022-02-15 00:00:01,"None"
"5","R",4,2022-02-15 00:00:01,2022-02-15 00:00:01,"None"
"6","R",4,2022-02-15 00:00:01,2022-02-15 00:00:01,"None"
"7","R",4,2022-02-15 00:00:01,2022-02-15 00:00:01,"None"
"8","R",4,2022-02-15 00:00:01,2022-02-15 00:00:01,"None"
"9","R",4,2022-02-15 00:00:01,2022-02-15 00:00:01,"None"
"10","R",4,2022-02-15 00:00:01,2022-02-15 00:00:01,"None"
"11","R",4,2022-02-15 00:00:01,2022-02-15 00:00:01,"None"
"12","R",4,2022-02-15 00:00:01,2022-02-15 00:00:01,"None"
"13","R",4,2022-02-15 00:00:01,2022-02-15 00:00:01,"None"
"14","R",4,2022-02-15 00:00:01,2022-02-15 00:00:01,"None"
"15","R",4,2022-02-15 00:00:01,2022-02-15 00:00:01,"None"
"16","R",5,2022-02-15 00:00:01,2022-02-15 00:00:01,"None"
"17","R",5,2022-02-15 00:00:01,2022-02-15 00:00:01,"None"
"18","R",5,2022-02-15 00:00:01,2022-02-15 00:00:01,"None"
"19","R",5,2022-02-15 00:00:01,2022-02-15 00:00:01,"None"
"20","R",5,2022-02-15 00:00:01,2022-02-15 00:00:01,"None"
"21","R",5,2022-02-15 00:00:01,2022-02-15 00:00:01,"None"
"22","R",5,2022-02-15 00:00:01,2022-02-15 00:00:01,"None"
"23","R",5,2022-02-15 00:00:01,2022-02-15 00:00:01,"None"
"24","R",5,2022-02-15 00:00:01,2022-02-15 00:00:01,"None"
"25","R",5,2022-02-15 00:00:01,2022-02-15 00:00:01,"None"
"26","R",5,2022-02-15 00:00:01,2022-02-15 00:00:01,"None"
"27","R",5,2022-02-15 00:00:01,2022-02-15 00:00:01,"None"
"28","R",5,2022-02-15 00:00:01,2022-02-15 00:00:01,"None"
"29","R",5,2022-02-15 00:00:01,2022-02-15 00:00:01,"None"
"30","R",5,2022-02-15 00:00:01,2022-02-15 00:00:01,"None"
"31","R",5,2022-02-15 00:00:01,2022-02-15 00:00:01,"None"
"32","R",5,2022-02-15 00:00:01,2022-02-15 00:00:01,"None"
"33","R",5,2022-02-15 00:00:01,2022-02-15 00:00:01,"None"
"34","R",6,2022-02-15 00:00:01,2022-02-15 00:00:01,"None"
"35","R",6,2022-02-15 00:00:01,2022-02-15 00:00:01,"None"
"36","R",6,2022-02-15 00:00:01,2022-02-15 00:00:01,"None"
"37","R",6,2022-02-15 00:00:01,2022-02-15 00:00:01,"None"
"38","R",7,2022-02-15 00:00:01,2022-02-15 00:00:01,"None"
"39","R",7,2022-02-15 00:00:01,2022-02-15 00:00:01,"None"
"40","R",7,2022-02-15 00:00:01,2022-02-15 00:00:01,"None"
"41","R",7,2022-02-15 00:00:01,2022-02-15 00:00:01,"None"
"42","R",8,2022-02-15 00:00:01,2022-02-15 00:00:01,"None"
"43","R",8,2022-02-15 00:00:01,2022-02-15 00:00:01,"None"
"44","R",8,2022-02-15 00:00:01,2022-02-15 00:00:01,"None"
"45","R",8,2022-02-15 00:00:01,2022-02-15 00:00:01,"None"
"46","R",9,2022-02-15 00:00:01,2022-02-15 00:00:01,"None"
"47","R",9,2022-02-15 00:00:01,2022-02-15 00:00:01,"None"
"48","R",9,2022-02-15 00:00:01,2022-02-15 00:00:01,"None"
"49","R",9,2022-02-15 00:00:01,2022-02-15 00:00:01,"None"
"50","R",10,2022-02-15 00:00:01,2022-02-15 00:00:01,"None"
"51","R",10,2022-02-15 00:00:01,2022-02-15 00:00:01,"None"
"52","R",10,2022-02-15 00:00:01,2022-02-15 00:00:01,"None"
"53","R",10,2022-02-15 00:00:01,2022-02-15 00:00:01,"None"
"54","R",10,2022-02-15 00:00:01,2022-02-15 00:00:01,"None"
"55","R",10,2022-02-15 00:00:01,2022-02-15 00:00:01,"None"
"56","R",10,2022-02-15 00:00:01,2022-02-15 00:00:01,"None"
"57","R",10,2022-02-15 00:00:01,2022-02-15 00:00:01,"None"
"58","R",10,2022-02-15 00:00:01,2022-02-15 00:00:01,"None"
"59","R",10,2022-02-15 00:00:01,2022-02-15 00:00:01,"None"
"60","R",11,2022-02-15 00:00:01,2022-02-15 00:00:01,"None"
"61","R",11,2022-02-15 00:00:01,2022-02-15 00:00:01,"None"
"62","R",11,2022-02-15 00:00:01,2022-02-15 00:00:01,"None"
"63","R",11,2022-02-15 00:00:01,2022-02-15 00:00:01,"None"
"64","R",11,2022-02-15 00:00:01,2022-02-15 00:00:01,"None"
"65","R",11,2022-02-15 00:00:01,2022-02-15 00:00:01,"None"
"66","R",12,2022-02-15 00:00:01,2022-02-15 00:00:01,"None"
"67","R",12,2022-02-15 00:00:01,2022-02-15 00:00:01,"None"
"68","R",12,2022-02-15 00:00:01,2022-02-15 00:00:01,"None"
"69","R",12,2022-02-15 00:00:01,2022-02-15 00:00:01,"None"
"70","R",12,2022-02-15 00:00:01,2022-02-15 00:00:01,"None"
"71","R",12,2022-02-15 00:00:01,2022-02-15 00:00:01,"None"
"72","R",12,2022-02-15 00:00:01,2022-02-15 00:00:01,"None"
"73","R",12,2022-02-15 00:00:01,2022-02-15 00:00:01,"None"
"74","R",12,2022-02-15 00:00:01,2022-02-15 00:00:01,"None"
"75","R",12,2022-02-15 00:00:01,2022-02-15 00:00:01,"None"
"76","R",12,2022-02-15 00:00:01,2022-02-15 00:00:01,"None"
"77","R",12,2022-02-15 00:00:01,2022-02-15 00:00:01,"None"
"78","R",12,2022-02-15 00:00:01,2022-02-15 00:00:01,"None"
"79","R",12,2022-02-15 00:00:01,2022-02-15 00:00:01,"None"
"80","R",12,2022-02-15 00:00:01,2022-02-15 00:00:01,"None"
"81","R",12,2022-02-15 00:00:01,2022-02-15 00:00:01,"None"
"82","R",12,2022-02-15 00:00:01,2022-02-15 00:00:01,"None"
"83","R",13,2022-02-15 00:00:01,2022-02-15 00:00:01,"None"
"84","R",13,2022-02-15 00:00:01,2022-02-15 00:00:01,"None"
"85","R",13,2022-02-15 00:00:01,2022-02-15 00:00:01,"None"
"86","R",13,2022-02-15 00:00:01,2022-02-15 00:00:01,"None"
"87","R",13,2022-02-15 00:00:01,2022-02-15 00:00:01,"None"
"88","R",13,2022-02-15 00:00:01,2022-02-15 00:00:01,"None"
"89","R",14,2022-02-15 00:00:01,2022-02-15 00:00:01,"None"
"90","R",16,2022-02-15 00:00:01,2022-02-15 00:00:01,"None"
"91","R",16,2022-02-15 00:00:01,2022-02-15 00:00:01,"None"
"92","R",16,2022-02-15 00:00:01,2022-02-15 00:00:01,"None"
"93","R",16,2022-02-15 00:00:01,2022-02-15 00:00:01,"None"
"94","R",16,2022-02-15 00:00:01,2022-02-15 00:00:01,"None"
"95","R",16,2022-02-15 00:00:01,2022-02-15 00:00:01,"None"
